channel,account_id,type_value,value,total,account_display_name
youtube,UCnR-yB_lvecbAC0EZKXrjJw,fan,4140000.0,5473613.456521739,ohana clip
youtube,UCnR-yB_lvecbAC0EZKXrjJw,average_engagement_per_post,1333613.456521739,5473613.456521739,ohana clip
youtube,UCIcpITw20T4_cpwVH3QePHQ,fan,4740000.0,5273751.068273093,Chickypie
youtube,UCIcpITw20T4_cpwVH3QePHQ,average_engagement_per_post,533751.0682730924,5273751.068273093,Chickypie
youtube,UC_iF8sFFnZDDcqe9VnSzyRA,fan,3780000.0,5126398.892307692,หม่อมถนัดแดก
youtube,UC_iF8sFFnZDDcqe9VnSzyRA,average_engagement_per_post,1346398.8923076922,5126398.892307692,หม่อมถนัดแดก
youtube,UCsB8vGD7lRFkZMK4AkLu2Vw,fan,4090000.0,4921135.744318182,Dek Jew Chill Out
youtube,UCsB8vGD7lRFkZMK4AkLu2Vw,average_engagement_per_post,831135.7443181818,4921135.744318182,Dek Jew Chill Out
youtube,UC1XBVkdmE9kfcP3zWtnD0dw,fan,4690000.0,4901907.2272727275,Aoffy Maxim
youtube,UC1XBVkdmE9kfcP3zWtnD0dw,average_engagement_per_post,211907.22727272726,4901907.2272727275,Aoffy Maxim
youtube,UC79u_tfhqjGIi1tgWsJEG7Q,fan,3680000.0,4771574.9299065415,กาย หงิด
youtube,UC79u_tfhqjGIi1tgWsJEG7Q,average_engagement_per_post,1091574.929906542,4771574.9299065415,กาย หงิด
youtube,UCVIzv4PnqfQnbgkCyrFqcvw,fan,4140000.0,4756908.9399999995,SorDor Style
youtube,UCVIzv4PnqfQnbgkCyrFqcvw,average_engagement_per_post,616908.94,4756908.9399999995,SorDor Style
youtube,UCOqODGR-AoOTkxB74sc1Xyw,fan,3480000.0,4743352.195121951,Bearhug
youtube,UCOqODGR-AoOTkxB74sc1Xyw,average_engagement_per_post,1263352.1951219512,4743352.195121951,Bearhug
youtube,UClPhAgp7q-uqKq5Qt0P8OMA,fan,3470000.0,4408115.375,The Snack
youtube,UClPhAgp7q-uqKq5Qt0P8OMA,average_engagement_per_post,938115.375,4408115.375,The Snack
youtube,UC5Hs50ZHlWisPs5MM2kb3GA,fan,3000000.0,4273383.072289157,Meijimill
youtube,UC5Hs50ZHlWisPs5MM2kb3GA,average_engagement_per_post,1273383.0722891567,4273383.072289157,Meijimill
youtube,UCni0RryGg4KQJd7jVqPpXZw,fan,3440000.0,4069643.2248062016,กิต งายย
youtube,UCni0RryGg4KQJd7jVqPpXZw,average_engagement_per_post,629643.2248062015,4069643.2248062016,กิต งายย
youtube,UCvE7UoDDYsX21WRR0lR3Z5g,fan,2350000.0,4050540.3600000003,TOR Torpedo
youtube,UCvE7UoDDYsX21WRR0lR3Z5g,average_engagement_per_post,1700540.36,4050540.3600000003,TOR Torpedo
youtube,UCKWQpPpegzXL7sJDMf2UUJA,fan,3720000.0,4022786.7774566473,Maser Gamer
youtube,UCKWQpPpegzXL7sJDMf2UUJA,average_engagement_per_post,302786.7774566474,4022786.7774566473,Maser Gamer
youtube,UCbOo-f3InU38IZV5tREzsNg,fan,3610000.0,3988298.6842105263,Bay Riffer
youtube,UCbOo-f3InU38IZV5tREzsNg,average_engagement_per_post,378298.6842105263,3988298.6842105263,Bay Riffer
youtube,UCPmgYEU6BkoLxfZj2GNmUFg,fan,3650000.0,3949790.0098522166,DJ.DREAMERTH
youtube,UCPmgYEU6BkoLxfZj2GNmUFg,average_engagement_per_post,299790.00985221675,3949790.0098522166,DJ.DREAMERTH
youtube,UCBisEhOzorThHuoKSGH4M5g,fan,2950000.0,3732779.4227405246,King SoYer
youtube,UCBisEhOzorThHuoKSGH4M5g,average_engagement_per_post,782779.4227405248,3732779.4227405246,King SoYer
youtube,UChjKDMnMMG6iZY3twuuS2zg,fan,2800000.0,3730015.928825623,PRIMKUNG
youtube,UChjKDMnMMG6iZY3twuuS2zg,average_engagement_per_post,930015.9288256228,3730015.928825623,PRIMKUNG
youtube,UCHEj6tiT_WSe8Ny0OfcILiA,fan,3240000.0,3724874.762886598,SoftpomzChannel
youtube,UCHEj6tiT_WSe8Ny0OfcILiA,average_engagement_per_post,484874.76288659795,3724874.762886598,SoftpomzChannel
youtube,UCcjysEwhh3yIzuZIec275aQ,fan,2250000.0,3536103.298245614,Ozrealman
youtube,UCcjysEwhh3yIzuZIec275aQ,average_engagement_per_post,1286103.298245614,3536103.298245614,Ozrealman
youtube,UCPL6Dt2qQ9TUlC4_VkYwwtA,fan,3350000.0,3475474.3071161048,Xcrosz
youtube,UCPL6Dt2qQ9TUlC4_VkYwwtA,average_engagement_per_post,125474.30711610487,3475474.3071161048,Xcrosz
youtube,UCXALRk2-YkcpHSm_ZSvZqfw,fan,3000000.0,3386400.43255814,Deklaaon Channel
youtube,UCXALRk2-YkcpHSm_ZSvZqfw,average_engagement_per_post,386400.43255813955,3386400.43255814,Deklaaon Channel
youtube,UCd6cgK-1L4tLSu5lNCzvw7A,fan,2810000.0,3355226.944,ple nakorn CHANNEL
youtube,UCd6cgK-1L4tLSu5lNCzvw7A,average_engagement_per_post,545226.944,3355226.944,ple nakorn CHANNEL
youtube,UCknUPd53AOtzVCztEXdHNKg,fan,2920000.0,3348749.504672897,softpomz
youtube,UCknUPd53AOtzVCztEXdHNKg,average_engagement_per_post,428749.5046728972,3348749.504672897,softpomz
youtube,UCMsV7X54X0yVQjeD5DLHi6g,fan,2620000.0,3241493.025316456,MOJIKO
youtube,UCMsV7X54X0yVQjeD5DLHi6g,average_engagement_per_post,621493.0253164558,3241493.025316456,MOJIKO
youtube,UC4ytWAm10LjaeS53LpQfJOA,fan,2710000.0,3232762.3613707167,Kutcha Wants2playz
youtube,UC4ytWAm10LjaeS53LpQfJOA,average_engagement_per_post,522762.36137071654,3232762.3613707167,Kutcha Wants2playz
youtube,UCwRhQ-evbGJFwcTZtm8imLg,fan,2740000.0,3210544.85,zommarie
youtube,UCwRhQ-evbGJFwcTZtm8imLg,average_engagement_per_post,470544.85,3210544.85,zommarie
youtube,UCigsRUvOKCw3SJbnS_XloGw,fan,2510000.0,2968588.7213793104,Thanks For Watching
youtube,UCigsRUvOKCw3SJbnS_XloGw,average_engagement_per_post,458588.72137931036,2968588.7213793104,Thanks For Watching
youtube,UC3cMPUcGrtUxGAYoeDV07aQ,fan,2600000.0,2901465.5023041475,PJY` Gamer
youtube,UC3cMPUcGrtUxGAYoeDV07aQ,average_engagement_per_post,301465.50230414746,2901465.5023041475,PJY` Gamer
youtube,UCopuDbhVg-4V5X8-XZ6w-bA,fan,2170000.0,2836678.7190082646,Oppa Thuchy
youtube,UCopuDbhVg-4V5X8-XZ6w-bA,average_engagement_per_post,666678.7190082645,2836678.7190082646,Oppa Thuchy
