account_id,type,value,account_display_name,category,fan_range
105747876138400,reaction,514923,Ladyissue.com รีวิวเครื่องสำอาง,Sales and review,300K-500K
105747876138400,share,273886,Ladyissue.com รีวิวเครื่องสำอาง,Sales and review,300K-500K
105747876138400,comment,56825,Ladyissue.com รีวิวเครื่องสำอาง,Sales and review,300K-500K
105747876138400,tag_friend,40843,Ladyissue.com รีวิวเครื่องสำอาง,Sales and review,300K-500K
105747876138400,purchase_intention,1144,Ladyissue.com รีวิวเครื่องสำอาง,Sales and review,300K-500K
105991352757407,total_engagement,2763045,PHOLFOODMAFIA - พลพรรคนักปรุง,Food and Drink,1M-9M
105991352757407,reaction,2169334,PHOLFOODMAFIA - พลพรรคนักปรุง,Food and Drink,1M-9M
105991352757407,share,525609,PHOLFOODMAFIA - พลพรรคนักปรุง,Food and Drink,1M-9M
105991352757407,comment,48880,PHOLFOODMAFIA - พลพรรคนักปรุง,Food and Drink,1M-9M
105991352757407,tag_friend,14923,PHOLFOODMAFIA - พลพรรคนักปรุง,Food and Drink,1M-9M
105991352757407,purchase_intention,4299,PHOLFOODMAFIA - พลพรรคนักปรุง,Food and Drink,1M-9M
107263299311646,total_engagement,26313417,Zom Marie,Blogger/Influencer,1M-9M
107263299311646,reaction,25657883,Zom Marie,Blogger/Influencer,1M-9M
107263299311646,share,456519,Zom Marie,Blogger/Influencer,1M-9M
107263299311646,comment,170639,Zom Marie,Blogger/Influencer,1M-9M
107263299311646,tag_friend,26171,Zom Marie,Blogger/Influencer,1M-9M
107263299311646,purchase_intention,2205,Zom Marie,Blogger/Influencer,1M-9M
108336965900863,total_engagement,959674,Erk-Erk,Blogger/Influencer,500K-1M
108336965900863,reaction,857043,Erk-Erk,Blogger/Influencer,500K-1M
108336965900863,share,69682,Erk-Erk,Blogger/Influencer,500K-1M
108336965900863,comment,27320,Erk-Erk,Blogger/Influencer,500K-1M
108336965900863,tag_friend,5364,Erk-Erk,Blogger/Influencer,500K-1M
108336965900863,purchase_intention,265,Erk-Erk,Blogger/Influencer,500K-1M
1092731204080242,total_engagement,6805404,ฉันกลัวที่แคบ,Travel,500K-1M
1092731204080242,reaction,6428815,ฉันกลัวที่แคบ,Travel,500K-1M
1092731204080242,share,239576,ฉันกลัวที่แคบ,Travel,500K-1M
