channel,account_id,account_username,account_display_name
facebook,109327779118887,,Hell Eating And Travel : HEAT
facebook,1094487730612262,,Teethory
facebook,109542260691226,,Menuzapzap สอนทำอาหาร สูตรอาหาร เมนูอาหารง่ายๆ ทำกินเองได้ที่บ้าน
facebook,1095947270526247,,กิน เที่ยว ถ่าย
facebook,1096689317131984,,Itmild
facebook,109780765859290,,Dot Property
facebook,1097935803669684,,ไข่แมวx
facebook,109808163838276,,Pantipa.a
facebook,109878683750141,,Thaimetagame
facebook,110041290379079,,Stackpython
facebook,110060556309834,,Bearclub channel
facebook,110108810594652,,korean everyday - เกาหลีวันละนิดจิตแจ่มใส
facebook,110160872355076,,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล)
facebook,110325275488,,efinanceThai
facebook,110342227201537,,สารบัญ Gaming MODE
facebook,1104702902984865,,Lily Lockwood
facebook,1105009449572786,,VIPS Station
facebook,1105108129531451,,Buffettcode
facebook,110561957238842,,เข้าครัวกัน Chanel
facebook,110567645710789,,SOS Animal  Thailand
facebook,110683740553240,,Cony Cry เจ๊ต่าย
facebook,110789016977014,,Drive Expert Thailand
facebook,241334032872968,,Bivoyage - ใบบันทึกเดินทาง
facebook,1109835245701916,,ก้นครัวไม่กลัวหิว
facebook,1109907242447884,,BeBell
facebook,1110156975701916,,เที่ยวเมืองไทยไปไหนก็ชิลดี
facebook,111016625715988,,โปรแกรมเมอร์กากๆ
facebook,111032520228135,,Talon Esports TH
facebook,1111670492346974,,หมูปิ้ง หมาหัวหงอก
facebook,1111995852155904,,Bebe Fit Routine
facebook,111224023738116,,ไม่ง้อยา by หมอบุรินทร์
facebook,111317663818867,,10นาทีกับหมอต่อ
facebook,111475210234104,,หมอดาราวดี มีเรื่องเล่า
facebook,111476199189252,,Bliss Out There
facebook,111580076933040,,Money Growths.
facebook,111759800203927,,Stock Stories
facebook,1118411618261407,,PJY Gamer
facebook,112028982183232,,108blog
facebook,1121727707871445,,Nontakan Ns.
facebook,112424966917165,ไดอารี่การเงิน - Money Diaries,ไดอารี่การเงิน - Money Diaries
facebook,112453422746177,,อยากเที่ยวก็เที่ยว
facebook,112853268914512,,I Roam Alone
facebook,112951523426995,,มนุษย์เงินเดือนอยากมีอิสรภาพทางการเงิน
facebook,112992245418145,,MacroView
facebook,113004723378031,,Last book in the universe
facebook,1132505570136386,,AKN Blog
facebook,113397052526245,,ลงทุนแมน
facebook,1134473426637248,,OHANA
facebook,113534410047020,,POSADEproduction
facebook,114215908612471,,VRZO
facebook,114258735318612,,Pearypie: Make-up Artist/Theatrical Artist
facebook,1143383362379163,,ตามติดชีวิตผีบ้า
facebook,1143902692317633,,บันทึกนักหนีเที่ยว
facebook,114518109274672,,หมอเวร
facebook,114535052663783,,Karnmay Outing
facebook,114586543318167,,หนอน หนังสือ
facebook,114648418640969,,Go!Graph
facebook,114657742365420,,Stocklittle.com ลงทุนหุ้น
facebook,114684511887112,,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น
facebook,114728313292584,,Pop a Panda
facebook,1147562675377631,,Runner's journey
facebook,115057766565563,ต้วมเตี้ยมแมวขี้หวง,ต้วมเตี้ยมแมวขี้หวง
facebook,115057766565563,,ต้วมเตี้ยมแมวขี้หวง
facebook,115217438559709,,นายแว่น ลงทุน - Naiwaen Investment
facebook,115825035169681,,Nune noppaluck
facebook,116132435108199,,Farose
facebook,116373061722109,,Vanilla.in.th
facebook,1164991113610312,,เลี้ยงลูกรอบโลก
facebook,116557358912055,,Chinnamo
facebook,1166280473514443,,เมื่อครีเอทีฟพบจิตแพทย์
facebook,116887095002358,,9TANA Tech Channel
facebook,215052905365961,,Mission To The Moon
facebook,117161128334587,,TechXcite
facebook,117783054919171,,หมื่นทิพ
facebook,117919564916269,,CookieCoffee Business Backpacker
facebook,117938045484598,,อ่านแล้วเล่า
facebook,1179571812101361,,ลาพักเที่ยว
facebook,117987472941096,,The Breakfast Club Studio
facebook,118209918234524,,หนุ่มเมืองจันท์
facebook,118632905254127,,Getout Thailand
facebook,1187718121329930,,Jabz
facebook,1192557244094483,,โดดงานไป
facebook,119275421551380,,บ่นบ่น
facebook,1194579164005256,,แซ่บ
facebook,119623558698451,,ใกล้หมอจิ๋ม
facebook,119679311920575,,Pang  HealthyRoutine
facebook,119804644753798,,Let's Eat Thailand กิน/เที่ยว/ที่เดียวครบ
facebook,119832502018737,,เห็นหมีรีวิว
facebook,120037831424870,,Mhunoiii
facebook,120193045378683,,วิ่งทั่วไทย
facebook,120229405310135,,น้องนี
facebook,120245224840163,,iNewch
facebook,1206527756133583,,I peach you a lot
facebook,120836345231062,,MORE THAN SURFACE
facebook,1209041419174610,,Spice Beauty
facebook,12105421715,,Blognone
facebook,121125451868285,,ออมเงิน
facebook,1211849898956812,,Misterbeam
facebook,121288987898365,,Buffalo Gags
facebook,1213178618728829,,เสียงร้องขอชีวิต ที่ไม่มีใครได้ยิน
facebook,121503281200135,,Pipo diy
facebook,121639869237321,,เขาว่าฉันติดนิยาย
facebook,121724685122371,,เที่ยวซิคะ
facebook,121778711349337,,Group B
facebook,122069651274589,,สมาคมรถแต่ง
facebook,1222460374512204,,Part-time Wanderer
facebook,1223463707762037,,Beyond esports
facebook,1225059317586787,ตัวคนเดียวก็เที่ยวได้,ตัวคนเดียวก็เที่ยวได้
facebook,1225060557634025,,เฉโปแมวโง่
facebook,122555811119000,,MThai Travel
facebook,1225591014202463,,Arifah KH
facebook,122659051549819,,ฝนตกเป็นหนัง
facebook,123217088363752,,DONUTBeautyBrains
facebook,123573917680246,,บ้านและสวน Baanlaesuan.com
facebook,123727281010582,,ลงทุน หุ้น www.sarut-homesite.net
facebook,1239035602861668,,ชะนีพีชชี่ & สตีเฟ่นโอปป้า
facebook,123955901005882,,Duet Diary ตามรอยเที่ยว
facebook,124119624290034,,theTripPacker
facebook,1241962762586227,,รีวิวไม่จำกัด
facebook,124596100918427,,mxphone
facebook,124674590943197,,Aitoy
facebook,1248376998605940,,Life of Cars Bkk - ตามติดชีวิต 4 ล้อ
facebook,272520502944456,,กินเพลิน เดินเที่ยว
facebook,125193917601376,,ไปให้ถึง100ล้าน
facebook,520508461475632,,เรียนเหอะ อยากสอน
facebook,125837970785202,,DroidSans
facebook,1260243364041122,,นวล
facebook,1266356126725477,Cheftablebychefart,Cheftablebychefart
facebook,126836487375715,,MudleyGroup
facebook,127206563964147,,ManagerGame
facebook,127711027317949,,สุดสัปดาห์แฟนคลับ
facebook,1279413135445288,,ป้าแบ็คแพ็ค
facebook,1280445142063956,,Edward10516 : เอ็ดเวิร์ด
facebook,1282763468534531,,เบิร์ดโบราณ - Ancient bird
facebook,128368057282830,,StockManday
facebook,128518177713946,,Eatwithpanida
facebook,1286059768092981,,เรื่องเล่าเม่าปากแดง
facebook,1287181854756510,,Shopkrabb
facebook,128847814434054,,BaanBigbike.com
facebook,1288604781196223,,เมริรีวิว
facebook,592382774286865,,OATS X Somewhere
facebook,128973884331773,,The Potential
facebook,128999347123451,,Kirarista
facebook,128999347123451,,キラリスタ
facebook,1292946660812300,,เลี้ยงลูกไปด้วยกัน
facebook,129603204199949,,AdK ก้องไก่กุ๊กๆ
facebook,1297219836967375,,สอดอStyle
facebook,129873120417560,,สูงวัย
facebook,1298923800165062,,LAZY COUP : เที่ยวเป็นคู่
facebook,1299361153430488,,เที่ยวให้ยับ : Crazy Journeys
facebook,130185063856737,,Kingdom Of Tigers: ทูนหัวของบ่าว
facebook,402680366584509,,Just Ride it
facebook,130427597062375,,Fahfahs
facebook,1305772012886903,,King SoYer
facebook,130579630466464,,BoxzaRacing
facebook,130711846991679,,IT24Hrs - ไอที 24 ชั่วโมง by ปานระพี
facebook,1307984479287561,,Parents One
facebook,130828730308145,,ฅ-คนรักรถ Carlover
facebook,130830357030898,,Me.Melissa
facebook,413354142184227,,Abby A.
facebook,130907225826,,มูลนิธิสืบนาคะเสถียร
facebook,1312969582133356,,เลี้ยงลูกตามใจหมอ
facebook,131359760699397,,Kyutae Oppa - คิวเท โอ็ปป้า
facebook,131495136994,,Techhub
facebook,131495136994,,ARiP เว็บไซต์ ข่าวสารไอที และทิป-เทคนิคคอมพิวเตอร์ อัพเดตทุกวัน
facebook,131603936871744,,marumura
facebook,131723040736108,,007NN
facebook,1319019291511601,,ST Cooking
facebook,131944390298250,,GER.C - เพื่อนเกอ
facebook,1320973381411002,,YousayーIX
facebook,132181560140799,,ครูบ้านนอก
facebook,132219823544238,,mintchyy
facebook,1322897861103881,,Makalius TH
facebook,133050930458942,,Infectious ง่ายนิดเดียว
facebook,133315470602600,,MotobigbikeThailand
facebook,133604363401439,,Mamo
facebook,133633956696348,,OpenRice Thailand
facebook,133875603953717,,The Blogker
facebook,133930953314040,,"""ตะกอนความคิด"""
facebook,134918250482035,,All by On'oum
facebook,1351832501625371,,BBtheboringboy
facebook,135539683263220,,Mejungwon Hair Salon
facebook,180118655367662,,นิตยสารชีวจิต
facebook,135827909783631,,Beartai : แบไต๋
facebook,1360532864026445,,Jo's canvas
facebook,1364766670302772,,Mikasa Dota2
facebook,1366426383372492,,BottomLiner - บทสรุปการลงทุน
facebook,137030013005956,,Wizard Kid Trader / คิดไปเรื่อยแบบวีคิด
facebook,137128806208,,fluke - alwaysfluke.com
facebook,444021505757538,,เชอบัว ยูโร มายา
facebook,1374608066180319,,นักเลงโรงหนัง
facebook,137680440196668,,ปั่นไปเรื่อย
facebook,137707208319,,iPhoneMod.net
facebook,137785233052025,,Hehaa TV
facebook,137819653659296,,JIM Makeup Story
facebook,1380398082223611,,เทพเจ้าคอนเน็ตโต้
facebook,138161163029343,,ใกล้มิตรชิดหมอ
facebook,138183282888359,,Eat and Travel Diary
facebook,1382081458707246,,Lowcostcosplay
facebook,420721548088489,,Active Run
facebook,1383393308644684,,เลี้ยงลูกนอกบ้าน
facebook,138387953231558,,มนุษย์ลูก
facebook,138458906178362,,7 Greens…ท่องเที่ยวสดใส ใส่ใจสิ่งแวดล้อม
facebook,1384955714859535,,MaiCh
facebook,1385074454981917,,เมื่อฉันรีวิวหนังสือ
facebook,138564082909736,,Garage Life Thailand
facebook,138660123426556,เที่ยวตามน้ำ,เที่ยวตามน้ำ
facebook,405627002942789,,"YSocial ที่สุดของสังคม ""มือใหม่เล่นหุ้น"""
facebook,138839259602612,,Miew8
facebook,1388475897837953,,Fasai Puengudom
facebook,1388677247843572,,อสังหาสายมืด
facebook,138918662817360,,Tuniez83
facebook,138959932830440,,Mao-Investor
facebook,139097896229170,,งงหุ้น
facebook,1391075851125112,,มอเตอร์ไซค์ พันทิพ
facebook,1391364751160502,,Wealth Me Up
facebook,1392681917641388,,Maerakluke - แม่รักลูก
facebook,139289596121879,,แกะดำทำธุรกิจ blacksheep
facebook,139460352859211,,MetalBridges : เกาะติดวงการ เกมส์ การ์ตูน ของเล่น
facebook,139504616086681,,PuPe_so_Sweet
facebook,139506396109739,,Sense on Films
facebook,1395259420694814,,Chila Make up Artist
facebook,1395464460694046,,Teeshutterb - รีวิว Gadget & การถ่ายภาพ
facebook,1395553384004638,,"ไปกินกัน - ""Let's Eat"""
facebook,1396267790598188,,Khwankhong
facebook,1396631753911112,,Paapaii พาไปดอทคอม
facebook,139715309992920,,odiniapp
facebook,276253335865694,,Eat Like 852 - ตะลุยกิน เที่ยวฮ่องกง โดยคนไทยในฮ่องกง
facebook,139902006569564,,Easy Food
facebook,1399068520368293,,Zbing
facebook,139970839777,,KUTE CLUB
facebook,1399752766967074,,Travel With Katheryn
facebook,139990129377398,,Sanook Game
facebook,1401092126773272,,บนกองเงินกองทอง
facebook,140168069445927,,Silapawattanatham - ศิลปวัฒนธรรม
facebook,1401745120135407,,DIY microwave cake by ป้าหนึ่ง
facebook,1401896636800994,,ครูนอกกรอบ
facebook,140190572711952,,Thaibma : สมาคมตลาดตราสารหนี้ไทย
facebook,1402727396524133,,𝐠𝐥𝐢𝐭𝐭𝐞𝐫𝐱𝐦𝐚𝐭𝐭𝐞𝐫
facebook,1403591629924294,,"NoWhere, But Here"
facebook,1403593619881474,,Girlteen Only
facebook,1404322053204515,,Eatoutbkk
facebook,1405054203049031,,BoxSkin Channel
facebook,1407113879374479,,แหมทำเป็นฟิต
facebook,1407216706156374,,หมาจ๋า
facebook,140763376258964,,พ่อลูกอ่อนนอนน้อย
facebook,1407653762877350,,KongRuksiam Studio
facebook,1409926302449424,,Chopluempatzytravelpap
facebook,1410003339233043,,MZ Crazy Cars
facebook,1410963835882986,,ครัวดัดจริต
facebook,141108613290,,Drama-addict
facebook,1411217698949936,,ปันโปร Hopper
facebook,1411217698949936,,ปันโปร x ตู้ซ่อนหมี
facebook,1411217698949936,,ตู้ซ่อนหมี
facebook,141162769419210,,Be fit for life
facebook,141179435910975,,Roundfinger
facebook,1412157692412002,,ThxCom
facebook,1416877831868383,,ออนนีเยปอ
facebook,1417236625217494,,Nuttyploy
facebook,1418757458345487,,ThisIsGame Thailand
facebook,1419074445081008,,Lab หุ้น
facebook,141930619169289,,Promotion2u
facebook,1419822008331235,,หนูนาสวีเดน แฟนเฟจ
facebook,142036289155129,,TaxBugnoms
facebook,142056272667953,,DossierChannel
facebook,1421097118180374,,Ronin Rider
facebook,1422579877985255,,เที่ยวเล่น เน้นกิน
facebook,1423054891327958,,Nuuly
facebook,1423168854666138,,Tasty Easy
facebook,1423364441306226,,ผู้บริโภค
facebook,1425005684388032,,Maibat Money
facebook,1425030811049323,,Thelittleteapot
facebook,142678286206085,,Travelerspulse
facebook,1427046100880584,,กูจะไม่ยอมเห็นรูปนี้คนเดียวแน่ๆ
facebook,1427046594223924,,My Home TV
facebook,1427338404222693,,ModPro by Iphonemod
facebook,1427944937266189,,Zyo Books
facebook,1430927110469897,,ประกิต สิริวัฒนเกตุ
facebook,1431396730443049,,HealthyChill เฮลตี้สายชิล
facebook,1431921053752986,,ฅนเล่นหุ้น
facebook,1432240820425023,,คำคมครีเอทีฟ
facebook,1435896040031702,,KirosZ Weerasak
facebook,1436860363229411,,Paidonnnn ไปโดนนนน - Eat Trip Snap
facebook,1436924239914829,,ปั่นแค่ไหว
facebook,1437026833220837,,Kanith
facebook,1437285152956253,,เล่าเรื่องหุ้น by อ.โอ๊ค
facebook,1437521676555227,,ทำเองอร่อยจัง
facebook,143815162384214,,banidea.com
facebook,1441929199357522,,MadooJapan
facebook,1442726035991757,,พ่อสอนลูกลงทุน
facebook,1442808386042438,,บอลพาเที่ยว Backpacker Ball
facebook,1444053725891623,,MotoRival
facebook,1444423885773953,,Bcare Fanclub
facebook,144523036226881,,หมูหิว
facebook,144573398896366,,TFPA
facebook,1447102878929950,,หนังฝังมุก
facebook,144768516112879,,Iconic Women Alliance
facebook,144932412287939,,high on dreams :}
facebook,1449588781736882,,เที่ยวไหนกัน วันศุกร์
facebook,1450387071863549,,หาเรื่องกิน ฟินเรื่องเที่ยว by Hello2Day
facebook,1451232418509665,,Nnewys
facebook,145167705685617,,FNDiary
facebook,1454097371499939,,ทับศัพท์
facebook,145504582184523,,รถนิยม
facebook,176317502525429,,ไอเดียแต่งบ้านสวย
facebook,1456144007991896,,Point of View
facebook,145624018963859,,กบแก้คัน
facebook,145658005769528,,เกษียณสำราญ
facebook,1457195797942769,,Fit4Tri
facebook,145843712843091,,รีวิวไม่หยุด
facebook,145845925452292,,2Madames.com เที่ยวและไลฟ์สไตส์แบบครอบครัว
facebook,146078832834158,,Stock-Strike
facebook,146099322885675,,Fond of Good Food
facebook,1461136064146581,,มิลค์เศษใจ
facebook,146244852086420,,อาจารย์อดัม
facebook,1462983483940821,,เฮ้ย นี่มันตัดต่อชัดๆ V2
facebook,1466470310339099,,Around Me
facebook,1469550513313035,,หุ้นการบ้าน
facebook,1473826652915599,,InsoCondo
facebook,1473936899520037,,ขอแชร์นะ
facebook,218228675013635,,Dom Paleoworld
facebook,147698319178662,,รีวิวมนุษย์ผิวแห้ง
facebook,1477446835706612,,Cycling Hub Thailand
facebook,1478007052430463,,TDKeane
facebook,147873281942757,,Beauty By Orangina
facebook,147891205242190,,Maycry999
facebook,1478952065666868,,รินเดเระ
facebook,573961149441500,,อยากเป็นนักวางแผนการเงิน
facebook,148037605886705,,Djpetjah
facebook,1482388275384756,,ชะนีมีกล้าม
facebook,1482429188687437,,Thisisgame Mobile
facebook,148321291980748,,Nut.Dao
